genome_id	genome	genus	species
Alteromonas_macleodii_SAMN05422113	Alteromonas macleodii MALA BGGGCIFH 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05422114	Alteromonas macleodii MALA HDMCNFBK 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05422115	Alteromonas macleodii MALA EILAGLKN 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05422117	Alteromonas macleodii MALA EAAGNDHC 	Alteromonas	Alteromonas macleodii
Alteromonas_confluentis_SAMN05422120	Alteromonas confluentis MALA BOFCDAAO 	Alteromonas	Alteromonas confluentis
Alteromonas_macleodii_SAMN05422120	Alteromonas macleodii MALA GPIHLFDL 	Alteromonas	Alteromonas macleodii
Alteromonas_sp_SAMN05422120	Alteromonas sp. MALA NDMHKPKD 	Alteromonas	Alteromonas sp.
Alteromonas_macleodii_SAMN05422121	Alteromonas macleodii MALA EKAOPGOL 	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMN05422121	Alteromonas australica MALA OGAMKLHO 	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMN05422122	Alteromonas macleodii MALA JKIINEFM 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05422123	Alteromonas macleodii MALA AHNLNHFL 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05422127	Alteromonas macleodii MALA GFKECADP 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05422128	Alteromonas macleodii MALA GFOMCGFD 	Alteromonas	Alteromonas macleodii
Alteromonas_sp_SAMN05422130	Alteromonas sp. MALA DBLLJBCG 	Alteromonas	Alteromonas sp.
Alteromonas_macleodii_SAMN05422130	Alteromonas macleodii MALA LKGLPHMF 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05422133	Alteromonas macleodii MALA NBFINJIH 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05422138	Alteromonas macleodii MALA COKPJGJJ 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05422143	Alteromonas macleodii MALA FOMAMBOG 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05422149	Alteromonas macleodii MALA GLMHGCOP 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05422152	Alteromonas macleodii MALA HBNHKFJL 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05422153	Alteromonas macleodii MALA NIGOHOLK 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05422164	Alteromonas macleodii MALA ENHHGIGI 	Alteromonas	Alteromonas macleodii
Alteromonas_mediterranea_SAMN05422165	Alteromonas mediterranea MALA JAPLNBCC 	Alteromonas	Alteromonas mediterranea
Alteromonas_macleodii_SAMN05422165	Alteromonas macleodii MALA PMFBPPCL 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05422168	Alteromonas macleodii MALA KJDAIKNE 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05422169	Alteromonas macleodii MALA JIKBLNIN 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05422183	Alteromonas macleodii MALA FCADMKDN 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05422188	Alteromonas macleodii MALA NPFLJJIF 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05422191	Alteromonas macleodii MALA FAHFBJCK 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05422195	Alteromonas macleodii MALA GNIPIPMH 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05422226	Alteromonas macleodii MALA LFOGBKLO 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMN05578452	Alteromonas macleodii MARD MMP05578452 	Alteromonas	Alteromonas macleodii
Alteromonas_gracilis_SAMN07626136	Alteromonas gracilis MARD MMP07626136 	Alteromonas	Alteromonas gracilis
Alteromonas_sp_SAMN10134660	Alteromonas sp. MARD MMP10134660 	Alteromonas	Alteromonas sp.
Alteromonas_sp_SAMN10233659	Alteromonas sp. MARD MMP10233659 	Alteromonas	Alteromonas sp.
Alteromonas_sp_SAMEA2591057	Alteromonas sp. TARA JFGAADBD 	Alteromonas	Alteromonas sp.
Alteromonas_sp_SAMEA2591074_BGMPHGLH	Alteromonas sp. TARA BGMPHGLH 	Alteromonas	Alteromonas sp.
Alteromonas_sp_SAMEA2591074	Alteromonas sp. TARA CINEHBFE 	Alteromonas	Alteromonas sp.
Alteromonas_mediterranea_SAMEA2591074	Alteromonas mediterranea TARA KDMPNFOL 	Alteromonas	Alteromonas mediterranea
Alteromonas_macleodii_SAMEA2591098	Alteromonas macleodii TARA ELBPFDCK 	Alteromonas	Alteromonas macleodii
Alteromonas_mediterranea_SAMEA2591132	Alteromonas mediterranea TARA GGHCBOPN 	Alteromonas	Alteromonas mediterranea
Alteromonas_australica_SAMEA2591132	Alteromonas australica TARA KHLCFNJJ 	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2619678	Alteromonas macleodii TARA EIFLFJDP 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2619907	Alteromonas macleodii TARA NBBOJICC 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2619952	Alteromonas macleodii TARA EMJBGBGK 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2619970	Alteromonas macleodii TARA GKNKAGAI 	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMEA2619974	Alteromonas australica TARA DFCIFEPC 	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2619974	Alteromonas macleodii TARA MIENHEPK 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2620000	Alteromonas macleodii TARA KDOCHGCC 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2620021	Alteromonas macleodii TARA NHAIJEJL 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2620035	Alteromonas macleodii TARA KKMHIJLM 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2620065	Alteromonas macleodii TARA EFBPEMOE 	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMEA2620065	Alteromonas australica TARA OKKLCHLP 	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2620097	Alteromonas macleodii TARA LMDFIENN 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2620194	Alteromonas macleodii TARA JCEANMAI 	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMEA2620198	Alteromonas australica TARA KLFKEFEP 	Alteromonas	Alteromonas australica
Alteromonas_mediterranea_SAMEA2620198	Alteromonas mediterranea TARA NOKDNNFF 	Alteromonas	Alteromonas mediterranea
Alteromonas_australica_SAMEA2620217	Alteromonas australica TARA KNGANELN 	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2620217	Alteromonas macleodii TARA OENHAHFA 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2620259	Alteromonas macleodii TARA OHBFMFFC 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2620413	Alteromonas macleodii TARA HJGOFLNN 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2620542	Alteromonas macleodii TARA MEOGFAGI 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2620734	Alteromonas macleodii TARA NONNIGNP 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2620815	Alteromonas macleodii TARA EEKNENIE 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2620828	Alteromonas macleodii TARA NCPOODDG 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2620882	Alteromonas macleodii TARA GFDHHHGO 	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMEA2620882	Alteromonas australica TARA GJEPBGGD 	Alteromonas	Alteromonas australica
Alteromonas_australica_SAMEA2620995	Alteromonas australica TARA BFDFBIKP 	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2620995	Alteromonas macleodii TARA JALHFPLJ 	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMEA2621013	Alteromonas australica TARA FHBCEPPH 	Alteromonas	Alteromonas australica
Alteromonas_australica_SAMEA2621020	Alteromonas australica TARA DGKNMHLE 	Alteromonas	Alteromonas australica
Alteromonas_australica_SAMEA2621021	Alteromonas australica TARA JAJGGMJP 	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2621021	Alteromonas macleodii TARA MKIGFGMC 	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMEA2621037	Alteromonas australica TARA BOIEAKJP 	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2621037	Alteromonas macleodii TARA GHKOIDBF 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2621044	Alteromonas macleodii TARA JOAMDGOD 	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMEA2621044	Alteromonas australica TARA NOLHAABM 	Alteromonas	Alteromonas australica
Alteromonas_australica_SAMEA2621045	Alteromonas australica TARA OHODKCPK 	Alteromonas	Alteromonas australica
Alteromonas_australica_SAMEA2621066	Alteromonas australica TARA EHDOKGKK 	Alteromonas	Alteromonas australica
Alteromonas_sp_SAMEA2621076	Alteromonas sp. TARA AJABBKHB 	Alteromonas	Alteromonas sp.
Alteromonas_australica_SAMEA2621076	Alteromonas australica TARA GINCPJEM 	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2621076	Alteromonas macleodii TARA KBKFGPDA 	Alteromonas	Alteromonas macleodii
Alteromonas_sp_SAMEA2621092	Alteromonas sp. TARA COOHPKLC 	Alteromonas	Alteromonas sp.
Alteromonas_australica_SAMEA2621092	Alteromonas australica TARA JEDFGNEM 	Alteromonas	Alteromonas australica
Alteromonas_australica_SAMEA2621099	Alteromonas australica TARA AKPJHAOI 	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2621099	Alteromonas macleodii TARA HKJHHJDF 	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMEA2621101	Alteromonas australica TARA LOPADGMB 	Alteromonas	Alteromonas australica
Alteromonas_australica_SAMEA2621132	Alteromonas australica TARA LILFEADH 	Alteromonas	Alteromonas australica
Alteromonas_australica_SAMEA2621155	Alteromonas australica TARA BMEOCPIO 	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2621155	Alteromonas macleodii TARA FAPDAFJA 	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMEA2621176	Alteromonas australica TARA JENGLJNG 	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2621204	Alteromonas macleodii TARA BCMHBGAK 	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMEA2621204	Alteromonas australica TARA JIFCLNHI 	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2622695	Alteromonas macleodii TARA CLGIMKPC 	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMEA2622695	Alteromonas australica TARA ILPHFPJJ 	Alteromonas	Alteromonas australica
Alteromonas_sp_SAMEA2622695	Alteromonas sp. TARA NDMJOCCC 	Alteromonas	Alteromonas sp.
Alteromonas_australica_SAMEA2622696	Alteromonas australica TARA FJMHLBNK 	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2621232	Alteromonas macleodii TARA EBHOLINI 	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMEA2621232	Alteromonas australica TARA LHMCJHIB 	Alteromonas	Alteromonas australica
Alteromonas_australica_SAMEA2621242	Alteromonas australica TARA MFCNHMLF 	Alteromonas	Alteromonas australica
Alteromonas_sp_SAMEA2621204	Alteromonas sp. TARA MFMAAAAC 	Alteromonas	Alteromonas sp.
Alteromonas_australica_SAMEA2621216	Alteromonas australica TARA ANKHBPBN 	Alteromonas	Alteromonas australica
Alteromonas_sp_SAMEA2621216	Alteromonas sp. TARA KOELIADL 	Alteromonas	Alteromonas sp.
Alteromonas_sp_SAMEA2621222	Alteromonas sp. TARA NKFAIACL 	Alteromonas	Alteromonas sp.
Alteromonas_macleodii_SAMEA2621260	Alteromonas macleodii TARA POCDJBFE 	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_SAMEA2621287	Alteromonas macleodii TARA MNDFFPHI 	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMEA2621295	Alteromonas australica TARA EFHEAJNM 	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2621423	Alteromonas macleodii TARA ACNBNNHJ 	Alteromonas	Alteromonas macleodii
Alteromonas_sp_SAMEA2621487	Alteromonas sp. TARA JEJEPAEM 	Alteromonas	Alteromonas sp.
Alteromonas_australica_SAMEA2621779	Alteromonas australica TARA AKPKIDGA 	Alteromonas	Alteromonas australica
Alteromonas_sp_SAMEA2621779_BKOBJOML	Alteromonas sp. TARA BKOBJOML 	Alteromonas	Alteromonas sp.
Alteromonas_sp_SAMEA2621779	Alteromonas sp. TARA DHJPEKIP 	Alteromonas	Alteromonas sp.
Alteromonas_australica_SAMEA2621812	Alteromonas australica TARA NKJCGLGA 	Alteromonas	Alteromonas australica
Alteromonas_sp_SAMEA2621839	Alteromonas sp. TARA MGLIPNEN 	Alteromonas	Alteromonas sp.
Alteromonas_macleodii_SAMEA2621839	Alteromonas macleodii TARA PGLOPPIJ 	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMEA2622048	Alteromonas australica TARA DBDFGENL 	Alteromonas	Alteromonas australica
Alteromonas_sp_SAMEA2622048	Alteromonas sp. TARA IMLALHCJ 	Alteromonas	Alteromonas sp.
Alteromonas_australica_SAMEA2622074	Alteromonas australica TARA LMCNBJON 	Alteromonas	Alteromonas australica
Alteromonas_australica_SAMEA2622097	Alteromonas australica TARA CBGOIALJ 	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2622097	Alteromonas macleodii TARA CJDFGJHP 	Alteromonas	Alteromonas macleodii
Alteromonas_sp_SAMEA2622097	Alteromonas sp. TARA HBPMPIGL 	Alteromonas	Alteromonas sp.
Alteromonas_australica_SAMEA2622119	Alteromonas australica TARA AHJCKKBI 	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2622119	Alteromonas macleodii TARA BOODJKMH 	Alteromonas	Alteromonas macleodii
Alteromonas_australica_SAMEA2622149	Alteromonas australica TARA IIKHAJAF 	Alteromonas	Alteromonas australica
Alteromonas_macleodii_SAMEA2622149	Alteromonas macleodii TARA NNHLKHHL 	Alteromonas	Alteromonas macleodii
Alteromonas_sp_SAMEA2622149	Alteromonas sp. TARA PCNPJDCB 	Alteromonas	Alteromonas sp.
Alteromonas_macleodii_SAMEA2622197	Alteromonas macleodii TARA BDHOEKBL 	Alteromonas	Alteromonas macleodii
