genome_id	genome	genus	species
Alteromonas_sp_07_89_2	Alteromonas sp. 07 89 2	Alteromonas	Alteromonas sp. 07-89-2
Alteromonas_macleodii_QZ9_9	Alteromonas macleodii QZ9 9	Alteromonas	Alteromonas macleodii
Alteromonas_macleodii_83_1	Alteromonas macleodii 83 1	Alteromonas	Alteromonas macleodii
Alteromonas_mediterranea_PT11	Alteromonas mediterranea PT11	Alteromonas	Alteromonas mediterranea
Alteromonas_mediterranea_PT15	Alteromonas mediterranea PT15	Alteromonas	Alteromonas mediterranea
Alteromonas_mediterranea_AltCH17	Alteromonas mediterranea AltCH17	Alteromonas	Alteromonas mediterranea
Alteromonas_sp_BL110	Alteromonas sp. BL110	Alteromonas	Alteromonas sp. BL110
Alteromonas_sp_76_1	Alteromonas sp. 76 1	Alteromonas	Alteromonas sp. 76-1
Alteromonas_sp_B31_7	Alteromonas sp. B31 7	Alteromonas	Alteromonas sp. B31-7
Alteromonas_sp_KC3	Alteromonas sp. KC3	Alteromonas	Alteromonas sp. KC3
Alteromonas_sp_KC14	Alteromonas sp. KC14	Alteromonas	Alteromonas sp. KC14
Alteromonas_sp_LMIT006	Alteromonas sp. LMIT006	Alteromonas	Alteromonas sp. LMIT006
